period,industry,category,variable,measure,value_pct,unit,publication_flag,publisher,source_table,source_file,source_url,denominator_note
2021-22,"Electricity, Gas, Water and Waste Services",technology,iot_pct,Internet of Things,12.0,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,"Electricity, Gas, Water and Waste Services",technology,ai_use_pct,Artificial intelligence use,1.9,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,"Electricity, Gas, Water and Waste Services",technology,any_ict_pct,Any ICT used,90.5,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Construction,technology,crm_pct,Customer Relationship Management software,7.6,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Construction,technology,erp_pct,Enterprise Resource Planning software,1.1,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Construction,technology,edi_pct,Electronic Data Interchange,11.2,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Construction,technology,digital_platforms_pct,Any digital platforms,45.5,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Construction,technology,cloud_pct,Cloud technology,54.2,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Construction,technology,cyber_security_software_pct,Cyber security software,54.1,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Construction,technology,data_analytics_pct,Data analytics,1.0,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Construction,technology,iot_pct,Internet of Things,6.3,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Construction,technology,ai_use_pct,Artificial intelligence use,0.4,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Construction,technology,any_ict_pct,Any ICT used,82.8,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Wholesale Trade,technology,crm_pct,Customer Relationship Management software,27.9,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Wholesale Trade,technology,erp_pct,Enterprise Resource Planning software,13.4,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Wholesale Trade,technology,edi_pct,Electronic Data Interchange,26.8,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Wholesale Trade,technology,digital_platforms_pct,Any digital platforms,58.3,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Wholesale Trade,technology,cloud_pct,Cloud technology,62.6,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Wholesale Trade,technology,cyber_security_software_pct,Cyber security software,74.4,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Wholesale Trade,technology,data_analytics_pct,Data analytics,6.3,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Wholesale Trade,technology,iot_pct,Internet of Things,9.5,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Wholesale Trade,technology,ai_use_pct,Artificial intelligence use,2.3,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Wholesale Trade,technology,any_ict_pct,Any ICT used,90.4,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Retail Trade,technology,crm_pct,Customer Relationship Management software,19.7,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Retail Trade,technology,erp_pct,Enterprise Resource Planning software,5.5,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Retail Trade,technology,edi_pct,Electronic Data Interchange,15.7,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Retail Trade,technology,digital_platforms_pct,Any digital platforms,65.2,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Retail Trade,technology,cloud_pct,Cloud technology,58.6,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Retail Trade,technology,cyber_security_software_pct,Cyber security software,62.1,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Retail Trade,technology,data_analytics_pct,Data analytics,6.2,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Retail Trade,technology,iot_pct,Internet of Things,6.4,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Retail Trade,technology,ai_use_pct,Artificial intelligence use,1.1,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
2021-22,Retail Trade,technology,any_ict_pct,Any ICT used,84.9,percent of businesses in industry,published,Australian Bureau of Statistics,Table_1,ABS_2021_22_ICT.xlsx,https://www.abs.gov.au/statistics/industry/technology-and-innovation/characteristics-australian-business/2021-22/81670DO007_202122.xlsx,All businesses in the industry unless the ABS table footnote states otherwise.
